emp_id,first_name,last_name,street,city,state,zip,SSN,email,phone,gender,position,salary,location
40247,Ezmeralda,Pyzer,21180 Russell Road,Los Angeles,California,90025,XXX-XX-7247,epyzerx@bbbooks.com,626-916-1848,Female,barista,171257,C001
65180,Alexandr,Forryan,32 Declaration Drive,Fresno,California,93715,XXX-XX-3846,aforryan13@bbbooks.com,559-534-9998,Agender,barista,273555,C001
10247,Luisa,Lighten,97 Buena Vista Hill,Fresno,California,93726,XXX-XX-1365,llighten15@bbbooks.com,559-610-5845,Bigender,barista,294752,C001
48839,Hanan,Gocke,3929 Almo Road,Irvine,California,92717,XXX-XX-9612,hgocke2@bbbooks.com,714-964-2236,Male,senior barista,73734,C001
61443,Bobbi,Yanshinov,77268 Autumn Leaf Court,Sacramento,California,95852,XXX-XX-7910,byanshinovq@bbbooks.com,916-854-5511,Non-binary,senior barista,432438,C001
11861,Adriena,Gomar,31 Iowa Center,San Jose,California,95123,XXX-XX-0601,agomar11@bbbooks.com,408-505-5583,Female,café manager,446525,C001
98325,Deedee,Spada,1784 Del Sol Junction,North Hollywood,California,91606,XXX-XX-2839,dspada5@bbbooks.com,818-431-0255,Female,ceo,172119,HQ01
91141,Sydney,Leyborne,008 Grasskamp Trail,Bakersfield,California,93381,XXX-XX-0192,sleyborne1b@bbbooks.com,661-187-4171,Male,vp accounting,53434,HQ01
10905,Ruthi,Gotts,65 Union Place,Fresno,California,93773,XXX-XX-0308,rgotts1c@bbbooks.com,559-781-6190,Female,vp hr,443626,HQ01
14098,Monroe,Hellens,165 Stang Pass,Glendale,California,91210,XXX-XX-0523,mhellensf@bbbooks.com,818-412-5007,Male,vp logistics,293649,HQ01
40310,Franny,Chaffe,3392 Wayridge Circle,San Jose,California,95194,XXX-XX-8628,fchaffem@bbbooks.com,408-537-4168,Genderqueer,assistant warehouse manager,136766,W001
25414,Suzette,Rathke,36576 Hallows Lane,Los Angeles,California,90025,XXX-XX-6873,srathkee@bbbooks.com,424-693-4190,Female,forklift operator,251560,W001
80046,Aggi,Anker,49244 Harper Center,Fresno,California,93794,XXX-XX-5794,aanker17@bbbooks.com,559-799-1345,Female,forklift operator,237540,W001
46435,Freddi,Brabant,60 8th Center,San Jose,California,95138,XXX-XX-0686,fbrabant4@bbbooks.com,408-278-0720,Female,packer,49295,W001
71406,Cyril,Gilchrest,77231 Lakewood Gardens Circle,Los Angeles,California,90101,XXX-XX-4352,cgilchresth@bbbooks.com,213-977-7658,Genderqueer,packer,368828,W001
39426,Etheline,Spir,725 Vernon Center,San Jose,California,95160,XXX-XX-3535,espirk@bbbooks.com,408-471-7049,Female,packer,374639,W001
37149,Erika,Ridgway,981 Sunbrook Circle,Los Angeles,California,90025,XXX-XX-6410,eridgway10@bbbooks.com,424-925-0284,Female,packer,420053,W001
48963,Toddy,Costley,3307 Moulton Drive,Inglewood,California,90398,XXX-XX-9150,tcostleyl@bbbooks.com,310-309-8586,Non-binary,warehouse clerk,298927,W001
72750,Renard,Hebbs,720 Dunning Point,Los Angeles,California,90101,XXX-XX-7054,rhebbs19@bbbooks.com,213-567-1006,Male,warehouse manager,231296,W001
98368,Marcel,Boorne,95209 Ohio Parkway,San Jose,California,95133,XXX-XX-6372,mboornep@bbbooks.com,408-562-0022,Male,assistant warehouse manager,445748,W002
11275,Ricard,Greiswood,07 Memorial Junction,Van Nuys,California,91411,XXX-XX-4152,rgreiswood1d@bbbooks.com,818-610-9490,Male,forklift operator,150113,W002
70909,Randee,Battersby,3 Dakota Alley,San Francisco,California,94159,XXX-XX-6911,rbattersbya@bbbooks.com,415-959-8944,Female,packer,360104,W002
50006,Lorilyn,Mulqueen,34 West Plaza,Sacramento,California,95818,XXX-XX-9834,lmulqueenj@bbbooks.com,916-849-5613,Female,packer,394007,W002
84499,Gery,Heugel,2 Cherokee Court,Santa Barbara,California,93106,XXX-XX-1416,gheugelt@bbbooks.com,805-689-0789,Male,packer,258973,W002
96573,Randall,Fforde,8 Bluestem Crossing,Stockton,California,95298,XXX-XX-5486,rffordeu@bbbooks.com,209-383-9059,Male,packer,81870,W002
64871,Gar,Castellet,82 Hoard Trail,San Jose,California,95133,XXX-XX-0042,gcastellet7@bbbooks.com,408-433-6242,Male,packer,101019,W002
90725,Haroun,Aslett,08 Dovetail Parkway,Oakland,California,94616,XXX-XX-7271,hasletty@bbbooks.com,415-179-0371,Male,warehouse clerk,120120,W002
23048,Raddy,Snelling,455 Knutson Plaza,Berkeley,California,94712,XXX-XX-1359,rsnelling16@bbbooks.com,510-802-8783,Male,warehouse manager,355963,W002
